"name","age","dni","source","tags","phone","external_id"
"Felipa Kleper","99","41988584687","Email response","contactcenter_region2","2-83 8869-9167","31580"
"Maria Lorenzana","21","95984565789","Email RESPONSE","any_applicant|never_call|remove_of_source13","5-73 2648 4177","35107"
"Cathlene Wallinga","85","61699389890","google Forms","client_only","4 83-5510 6824","48814"
"Cherri R. Halie","23","81703476886","google Forms","any_applicant|least_interested9","1 96 2722 1560","51685"
"Kippie Kore","4","92869850530","google Forms","techsource_29|most_interested|apply_0_cases24","1 15 6410 9276","99966"
"Ronica Berardo","74","89294146779","google Forms","remove_of_source|actionpending25","3-19 7159-7701","38080"
"Gillian Trillby","86","97001824524","manual-registration","contactcenter_region4","2 69 6390 4985","13077"
"Magdalen P. Erdah","53","64314251238","Email response","techsource_29|treaty12","7 90 6640 2812","34357"
"Martina Nuri","40","14384444057","MANUAL REGistration","techsource_29|actionpending|remove_of_source","+54 2 22 9909 8582","89746"
"Lilas Emalia","7","76842522090","Manual registration","treaty|rangeof_action","8 94 5668 4592","50496"
"Rea Lieberman","24","44922476216","Manual registration","special21","9 82 4227-7307","72962"
"Sherrie Alard","61","85340808020","facebook leads","special21|rangeof_action|call_again","+54 4 15 6514 6005","76039"
"Belva Onstad","21","95984565789","MANUAL REGistration","form_ui344|least_interested","5-73 2648 4177","96033"
"Audrie C. Lipski","72","1785760576","google form","form_ui344|rangeof_action5","+54 4 32 4292 9357","26155"
"Pammie Hobbs","37","64474285012","Google forms","remove_of_source","4 84 9720 9801","37015"
"Bari Thomsen","115","36783390574","Manual registration","contactcenter_region3|call_again|least_interested","1-37 9760 4057","53727"
"Tiffie Berkeley","69","97936218899","MANUAL REGistration","special|actionable|on_consideration21","+54 7 32 9395 2589","58440"
"Sybyl C. Gratt","4","92017337142","MANUAL REGistration","contactcenter_region2|client_only","7 35-1093 5695","81994"
"Yelena Thorlay","108","24095535047","Google forms","call_again|contactcenter_region3|client_only16","5 36 1513-4981","84024"
"Elysha Wilfreda","61","55145314882","google Forms","contactondemand16|actionpending13|apply_0_cases","+54 6 70 2393 7594","50310"
"Kali Yates","105","91016997893","Email response","form_ui34423","5-91-5889 8108","72962"
"Linnet M. Claman","121","54157063097","facebok Leads","limit|remove_of_source|contactondemand","8 62 8554 4324","85984"
" G. Babcock","22","79139770211","Facebook Leads","rangeof_action","+54 7 22 6817 4092","87683"
"Petrina Alinna","29","39926038747","Email RESPONSE","contactcenter_region2","+54 5 64 5060 1454","57522"
"Nadine E. Sloatman","38","12632619982","facebook leads","any_applicant26","1 73 4417 7291","46807"
"Zonda D. Mathis","121","96430032845","facebook leads","form_ui344|most_interested","+54 7 77 3174 4022","13335"
"Stormie R. Hyacinthe","18","61543446017","google form","client_only|actionpending","8 64-7955-7355","42322"
"Bunny I. Schach","93","63928201642","MANUAL REGistration","any_applicant|actionpending|never_call","6-42 6056 8675","74634"
" Phillips","88","17753809001","Email response","on_consideration|treaty21","2 12 6053 8283","50124"
"Claresta Cox","99","28241596839","manual-registration","most_interested|techsource_29|contactcenter_region1","5 57 7816 2833","62577"
"Melita Mortimer","47","22091262606","google Forms","actionpending|form_ui344","5 31 8619-3333","24416"
"Bobinette Juster","57","84530917792","facebook leads","rangeof_action|never_call|most_interested","+54 3 76 4018-5842","36821"
"Dyanne W. Lucas","64","54216233290","Email responce","actionpending|apply_0_cases5|apply_0_cases","+54 6 47 4186 4229","68206"
"Anna Albarran","21","95984565789","Email response","never_call21","5-73 2648 4177","65695"
"Bird J. Hadwyn","121","28510320520","google Forms","apply_0_cases|call_again|contactcenter_region3","8-53-1353-9016","14791"
"Reyna Teferi","125","59552140406","MANUAL REGistration","actionable27","1 73 8886 1794","83443"
"Aridatha Tuchman","11","94313182957","facebook leads","techsource_29","8 32 2577 5931","76853"
"Genna E. Kassey","79","36332739141","MANUAL REGistration","form_ui344|apply_0_cases|actionable","6 26 6455 4141","17041"
"Terri T. Ineslta","14","54210089670","Google forms","contactcenter_region2","5 16 4640 3461","99867"
"Sileas Legge","111","52469672190","Manual registration","rangeof_action|limit","4 93 9547 6070","48368"
"Cornie Bailey","79","36332739141","MANUAL REGistration","actionable","6 26 6455 4141","40100"
"Caty Garibald","90","17147300519","google Forms","special18|contactcenter_region1","3 21 9161 4353","37826"
"Laina S. Gannes","84","18428141920","Email responce","contactcenter_region2|apply_0_cases","5 11-3646-3057","97583"
"Annabal G. Terryn","72","26772821099","facebok Leads","limit|contactcenter_region2","+54 8 15 9804 2609","83480"
"Fae Cissiee","59","41584661020","MANUAL REGistration","case1|client_only","2 83-2721 9459","52036"
"Melina Mollie","29","76737226683","Manual registration","least_interested|contactondemand","2-92 6131 7124","41380"
"Rivkah Dikmen","42","56155472779","MANUAL REGistration","source_dependant","7 29 3903 2556","21010"
"Johnna Benedikt","106","77536526960","Google forms","special|actionpending","+54 9 81 4092 3261","13335"
"Shellie Liuka","69","79810376162","facebok Leads","contactcenter_region24|form_ui344","9-62 9692 6456","94262"
"Phyllis Hadleigh","50","78714487687","Facebook Leads","most_interested","+54 5 92-1722 4531","99998"
"Hally Sida","20","68732287970","MANUAL REGistration","special|contactondemand","7 75 3449 2407","99363"
"Heidie Moncear","54","63226506470","Google forms","apply_0_cases","+54 3 60 1998 9170","93585"
"Jerrie Sadira","81","74076586550","facebook leads","remove_of_source|most_interested","9 90 1993-4703","61469"
"Kim Iormina","13","37341188656","google Forms","apply_0_cases","5 11-4447 4606","85243"
"Mellisa B. Orrin","54","19557172387","Google forms","form_ui344|contactcenter_region115","8 10 9196 6911","73362"
"Sephira S. Roid","18","37706875066","Email response","techsource_29|contactcenter_region2|form_ui344","3 12 5960-7982","32346"
"Brandy Agostino","26","84476324256","google Forms","treaty4|contactcenter_region2|techsource_293","2 13 6404 4016","19294"
"Jesse Chinua","89","76764558215","facebook leads","contactondemand26","6 49 8191 1908","59239"
"Priscilla Coulter","62","68248470756","Email RESPONSE","least_interested1|contactcenter_region329|on_consideration","3 32 7492 6952","43088"
"Trixi Larry","84","17532976799","Email response","client_only|special8|apply_0_cases","2 69 1162 3023","96543"
"Gypsy Laktasic","70","78931681720","MANUAL REGistration","possible_buyer2|actionpending","8-25 6248 9958","86784"
"Andriette Kenn","83","50671503082","Email response","source_dependant","+54 9 34 1740-6184","26742"
"Dale O. Donia","35","18045708270","Manual registration","techsource_2925|form_ui344|contactcenter_region2","+54 3 54 3048 87929","10076"
"Ginelle Federica","100","48565354768","Email response","remove_of_source|contactcenter_region4","6 95 4451 4101","71589"
"Adelina Rai","72","26772821099","Email RESPONSE","contactcenter_region2","+54 8 15 9804 2609","53867"
"Katya Gaspar","111","15091588548","Manual registration","contactondemand7|special|source_dependant8","4 12 4421 9250","65887"
"Othelia A. Eliathan","85","28954903931","Email response","limit|special|contactcenter_region4","6 64 2392-4893","65829"
"Elva T. Eleanor","22","40146799125","Email RESPONSE","contactcenter_region2|any_applicant|contactcenter_region4","+54 6-83 1485-5967","91432"
"Lilias D. Adamo","25","54005311218","google Forms","contactcenter_region3|call_again|contactcenter_region2","4 76 8945 5182","26871"
"Bev K. Sass","1","48960371469","Google forms","contactcenter_region1","7-64-5363 1139","76479"
"Annnora","50","19383548447","facebook leads","contactcenter_region4","4 46 5727 3571","52379"
"Cherlyn Jeanna","118","35641508069","google Forms","rangeof_action|possible_buyer20","4 46-8421 8157","86227"
"Anna-Diana A. Malcolm","72","26772821099","Google forms","case1","+54 8 15 9804 2609","75347"
"Eunice K. Laws","111","91446977328","Google forms","least_interested","3 78-1886 6133","14832"
"Clareta Carolann","88","73592888934","facebok Leads","call_again|call_again|contactcenter_region3","7 92 3212-1222","25767"
"Hannie Weatherley","75","11705678193","Email response","contactcenter_region3|rangeof_action","+54 9 89-7820 6438","36745"
"Ethelind Aigneis","19","26938112988","Manual registration","possible_buyer|call_again2","1 64 4725 5071","28012"
"Rubie C. Kroll","30","3947944389215","Email response","treaty|treaty|special3","1 14 5261 4417","95178"
"Datha W. Lathrop","113","36221870275","Email response","form_ui344|least_interested","8 13-1603 7044","68544"
"Lorain Eadwina","31","96606780549","Google forms","treaty|most_interested","6 90 8774 9971","39652"
"Sherill F. Polly","119","71452106248","Email RESPONSE","special|contactcenter_region4|contactcenter_region2","2 88 1350 3353","32909"
"Cosette R. Zulch","33","43269675510","google Forms","actionpending|limit|any_applicant","2 27 6619 1857","53783"
"Ruthe Chelsae","64","53824889645","Email RESPONSE","possible_buyer","9 54 9840 8860","95889"
"Suzann T. Hennie","76","46007094364","Manual registration","rangeof_action1|techsource_29","1 37 7360-4373","63800"
"Jacqui Loree","70","76991306252","MANUAL REGistration","contactcenter_region427|special","+54 1 89-8963 4487","45613"
"Anne-Corinne R. Sarena","40","47624668013","Email response","call_again","+54 1 59 7829 1230","35864"
"Katharyn L. Shantee","102","97342340435","manual-registration","least_interested|remove_of_source","1 41-8043 4038","26689"
"Vannie T. Petes","103","88868731971","Manual registration","techsource_29","+54 5-79 2603-2882","25303"
"Cathrine Costanza","31","30022333274","facebok Leads","contactcenter_region31|remove_of_source|source_dependant","1 90 8705 1137","88408"
"Stepha Mariken","117","74557589559","google Forms","apply_0_cases|client_only","4 45-6427 1766","45684"
" T. Smalley","20","23643779181","Facebook Leads","actionpending|limit|least_interested","+54 8 74 8149 9542","96909"
"Esther G. Melly","111","93446768123","manual-registration","least_interested","+54 7 73 8541 7306","82171"
"Robbyn Demetris","54","30761470029","manual-registration","contactcenter_region426","7 21-8401-6310","32749"
"Keelia M. Wyler","20","33069078535","Email response","client_only|call_again","2-66 9974 3449","88713"
"Aubrette H. Lietman","3","60947490155","Manual registration","on_consideration15","+54 9 87 6113 2596","42966"
"Electra Nobe","25","65242577629","Email RESPONSE","most_interested|contactondemand","8 42 6354 8247","71790"
"Claudia D. Rudman","34","83787875806","Email response","contactcenter_region3","5 48-6837 3309","96318"
"Lotty Albertine","111","96324861406","google Forms","possible_buyer","6 69 8825-3066","67361"
"Tatum M. Kennedy","84","28198028003","MANUAL REGistration","apply_0_cases|limit5","1 88 9116 4848","19009"
"Grethel C. Delilah","100","36603994054","MANUAL REGistration","source_dependant","+54 7 46 2481 9707","57234"
"Adela R. Frederic","42","77634846519","MANUAL REGistration","never_call|on_consideration|actionable27","+54 1 98 6825 5031","22989"
"Mirna Buehler","24","27416236580","Email RESPONSE","least_interested|contactcenter_region2|apply_0_cases","9 41 7978 7966","44593"
"Jonell Melisenda","121","25897508352","MANUAL REGistration","contactcenter_region3","+54 2-42 7900 9627","69811"
"Rania A. Julian","111","32855559003","Email RESPONSE","call_again28","+54 7 46-9366 8792","49541"
"Kacey Diana","0","40392994208","Manual registration","apply_0_cases|actionable|limit18","5 88 6968 9353","63565"
"Ruthy Aguie","122","41091292655","Email responce","least_interested","9 80-8626 5929","47140"
"Matilde Brana","1","77619798548","Email RESPONSE","remove_of_source|most_interested","+54 5 60 7188 3647","85802"
"Jammie B. Sherwood","109","61822785266","Email RESPONSE","techsource_2914|contactcenter_region3","+54 7-25 2348-4100","98601"
"Dalia Courcy","63","28933433207","Facebook Leads","possible_buyer|on_consideration|most_interested3","3 41 9429 2405","76322"
"Minette H. Pierette","55","99086147049","Manual registration","client_only","1 85 2445 1282","95579"
"Manda Michey","46","70642016838","MANUAL REGistration","least_interested|contactcenter_region3|call_again","+54 8 30 4566-4298","84857"
"Millicent Deeanne","119","71452106248","Email responce","remove_of_source16|contactcenter_region1","2 88 1350 3353","89950"
"Wally C. Gold","116","21656193178","Email response","any_applicant23|any_applicant","3 88 2744 6715","95913"
"Antonietta C. Sabir","21","77426024731","google Forms","case17|special9","+54 6 88 3538 1004","65616"
"Ellynn M. Odyssey","16","26812776382","Google forms","remove_of_source3","+54 3 89 7101 87184","70219"
"Kirsteni Joshi","65","24728129850","Facebook Leads","contactcenter_region328|techsource_29|limit","7 77-8391-2598","32398"
"Simonne E. Hirsh","7","73513241651","Manual registration","techsource_29","4 87 1089 3805","51313"
"Kelly V. Hooper","25","55375412221","MANUAL REGistration","contactcenter_region225","+54 3 99 7519 8599","31463"
"Debor H. Borreri","12","41722613809","google form","on_consideration|actionpending25|call_again","7 61 1676-1705","85243"
"Halette Tito","50","62337775743","Google forms","contactondemand24","7 31 1787-6988","54745"
"Berthe J.","39","85686015701","Manual registration","techsource_29","+54 3 54 1634 4002","93539"
"Sibelle Kaplan","53","17889983195","facebook leads","remove_of_source|contactcenter_region2","5 16 7257 3695","18396"
"Heidie T. Goss","33","96232959468","MANUAL REGistration","call_again|actionable|contactcenter_region1","+54 1 75 3566 6127","84217"
"Valene Alyse","101","71221559196","Email response","least_interested27|source_dependant28|on_consideration18","+54 6 17 9126 4802","17869"
"Chanda O. Stanhope","116","85654578907","facebook leads","never_call7|remove_of_source|never_call","1 76 5931 8651","81951"
"Timi Cohette","45","71514462420","google form","actionpending|limit","2 24-7075 8359","58409"
"Sissy Sharia","58","57696418797","Facebook Leads","never_call","+54 7 79 2470 1865","79087"
"Ashlen Crescentia","119","85171342793","Email RESPONSE","actionable","+54 5-89 4291 7669","88035"
"Linnet Gamal","113","61728730242","Facebook Leads","rangeof_action27|actionpending|apply_0_cases2","7 84 6436 6416","41880"
"Anabal Aldwon","116","64622996702","Email RESPONSE","rangeof_action22","8 99-1788 6896","28534"
"Doe M. Homerus","0","68638773249","Facebook Leads","form_ui344","5-51-7331 5533","65660"
"Brigida Chesney","119","71452106248","Email response","apply_0_cases22|special|contactcenter_region44","2 88 1350 3353","45023"
"Eba Ardell","60","95299794750","Email responce","contactondemand","4-24 7481-8066","88226"
"Thomasin J. Jeannine","15","98865373139","facebook leads","contactondemand","5 68 2524 6787","75610"
"Andee Bobbee","117","87165164425","MANUAL REGistration","possible_buyer|any_applicant26|rangeof_action","6-89 1823 3158","16031"
"Katerine Keri","118","13733235832","google Forms","special","1 57-7871 3094","32106"
"Eleni Stanton","15","39800535864","google Forms","least_interested29|contactcenter_region412|contactcenter_region1","+54 8 27 1027 3360","24357"
" Elurd","119","71452106248","Manual registration","remove_of_source9|contactondemand|on_consideration","2 88 1350 3353","74704"
"Rozele Worden","32","26633707029","facebook leads","actionpending14|case1","+54 8 26-3108-9089","24737"
"Rosalinda R. Luke","75","56940269353","Google forms","source_dependant13","+54 7-59 9183 4525","27576"
"Dasha Ingvar","117","68851681843","Google forms","any_applicant|case1","+54 2 51-3083 1550","10642"
"Judy T. Marlea","45","68750513375","Manual registration","apply_0_cases|special|on_consideration","6 95 9991 2226","32205"
"Maighdiln Katya","13","89558677442","Email RESPONSE","on_consideration30|contactcenter_region4|apply_0_cases9","8 64-8197 5001","24231"
"Tricia L. Francesca","122","29216658287","Email RESPONSE","techsource_2913","6-94 8191 7031","15082"
"Gladi Romelda","75","73437847728","Google forms","any_applicant","2 75 6385 1392","27346"
"Romola L. Krall","79","87205633105","Google forms","any_applicant22|special|actionable","2-11 9171 8497","99515"
"Georgia T. Proulx","13","89558677442","Facebook Leads","client_only|source_dependant","8 64-8197 5001","59032"
"Lucy C. Roda","62","62411692936","google Forms","most_interested6|never_call|contactcenter_region1","9-83 8000-8610","99813"
"Freida A. Lucita","10","45293920867","Google forms","least_interested27","+54 1 59-8832 7175","85774"
" Orson","57","86628447663","Email response","treaty24|limit|treaty","+54 7 25 2286 9869","41677"
"Nanine Kristoffer","80","45991312110","Facebook Leads","contactcenter_region425|never_call","6 95-4770-2945","24482"
"Carry T. Crescentia","104","84841310728","google Forms","contactcenter_region4|treaty30","+54 5 45 1279 2743","74098"
"Ema Babby","23","38370799880","facebook leads","contactcenter_region3|contactcenter_region2|any_applicant3","4 99 6846 7509","47479"
"Tamara N. Dulsea","84","55820067495","google Forms","most_interested13","2 35 1985 8125","54498"
"Arleyne Xanthus","24","22174111931","MANUAL REGistration","treaty2|contactcenter_region2|form_ui344","+54 3-23 8701 4964","44056"
"Mathilde Barrington","2","73174364948","Email response","least_interested4|on_consideration","6 18-5532-7963","18360"
" Kerrison","28","42152344126","facebok Leads","special25|never_call","+54 2-21 6389 6760","17840"
"Jorry B. Rivalee","114","80243286987","google Forms","special","+54 3 32-6505 2565","17382"
"Judie Furgeson","3","65519271784","Email response","techsource_29","6 76 3711 3533","38277"
"Augustina D. Tatiana","120","51506400524","Facebook Leads","most_interested","7 99-7536 1170","32809"
"Bambie TEirtza","83","83363973289","facebok Leads","possible_buyer1","3 55-7036 6151","40159"
"Wilma Longfellow","14","46014807927","Email response","least_interested|least_interested|actionpending","+54 9 22 7273-5470","70521"
"Tillie Tennes","109","60530539011","Facebook Leads","contactcenter_region319|form_ui344|least_interested","5 16 6037 1082","57393"
"Teresita Ludlow","22","23436673167","Email response","actionable|special10|most_interested6","8 44-4394-4659","21544"
"Twila E. Martynne","83","65994353268","Email RESPONSE","client_only","9 70 8774 3509","96895"
"Sharla Roee","13","89558677442","MANUAL REGistration","on_consideration","8 64-8197 5001","89953"
"Dinny W. Alithea","18","58216887307","facebook leads","apply_0_cases","5 39 9574 9136","34846"
"Cleopatra","109","89181178923","Manual registration","special","3 71 8396 6446","34551"
"Belita E. Friede","64","64976193480","Email response","actionable|call_again12","6 90 1101 1880","13818"
"Lethia Hardie","13","89558677442","manual-registration","actionpending","8 64-8197 5001","24270"
"Maryellen Cletus","94","7786922706912","google Forms","least_interested|techsource_2910","4 15 2108 7696","38645"
"Lind M. Telford","55","56928620360","Email RESPONSE","never_call11|actionable7|contactcenter_region3","8-15 7497 1521","77467"
"Emilee S. Lymann","103","13766988332","facebok Leads","possible_buyer25|techsource_29","2 75-7080 3436","31852"
"Nelia Reddy","118","74342624714","Google forms","call_again22","+54 7-72 7436 9237","44771"
"Michal Olshausen","27","40049103210","facebook leads","least_interested","7 84 3721 5228","73014"
"Meryl Azaria","118","50054006544","facebook leads","actionable15","+54 3 30 5195 6569","14479"
"Francene Tad","100","72757035800","facebok Leads","contactondemand","2 73 3174 6836","10689"
"Kyrstin Tal","84","46798503409","Facebook Leads","treaty22|client_only|contactcenter_region4","7 70 7033 6118","30723"
"Ericha Noell","109","64188599034","Email responce","client_only","9-91 5962 4082","75073"
"Jana P. Tracy","34","7555545569","Google forms","treaty20","8 88 7003-6256","56147"
"Natalina Stockwell","13","90277613554","Email responce","form_ui344|on_consideration","+54 1 14 1716 1850","48886"
"Courtney Len","119","39919683717","facebook leads","contactondemand3|remove_of_source","4 66 5469 4334","10765"
"Geri Julius","32","91334037002","google Forms","case1|possible_buyer16","8 50 2848 9954","99565"
"Abra Dew","108","33585322702","facebook leads","never_call|techsource_29","9-66-6098 3200","77579"
" F. Bogoch","1","28370336382","MANUAL REGistration","client_only|rangeof_action","3 23-5686 5241","70910"
"Kippie Karl","64","17230180635","manual-registration","source_dependant|limit19|on_consideration3","3 12-9764 3865","82454"
"Elfie R. Brass","56","50756850224","Facebook Leads","on_consideration|contactcenter_region118","8 52 2988 7078","23887"
"Olivie S. Theresa","118","44665637986","Facebook Leads","actionable28|contactcenter_region120|techsource_29","4 89 8602 5612","60624"
"Clari T. Thurnau","122","33529092100","Manual registration","rangeof_action","6 89 8455 2873","58869"
"Joby Monteith","47","75975535237","facebook leads","case1|most_interested","1 46 1896 3193","98245"
"Amelia Dermott","10","59176602230","Facebook Leads","actionable21|never_call14|techsource_29","1 92 7252-1523","87587"
"Moyra","0","80599733366","MANUAL REGistration","any_applicant11","2 78 9341 9616","43883"
"Shannon Estevan","39","79503378320","Manual registration","never_call","2-78 8224 3748","89501"
"Tiffani B. Rani","124","63856062068","Email RESPONSE","remove_of_source","6 14 6380 1918","62590"
"Carline Roslyn","51","41370436359","MANUAL REGistration","case1|treaty|case16","+54 4 25 9532-3070","71322"
"Vally Engleman","21","12162502881","facebook leads","case122|apply_0_cases|any_applicant","4 63 4896 7757","83900"
"Alfy G. Prima","34","53120941646","facebook leads","most_interested|source_dependant|limit4","+54 4 78 7932 13611","55746"
"Theresina Koosis","16","18604935562","MANUAL REGistration","on_consideration|any_applicant3|limit4","+54 2 30-2055 7501","50311"
"Melinde Parrie","103","73411040538","Facebook Leads","most_interested|call_again|never_call","8 17 9843 6080","33702"
"Maryjane Amr","32","83806364442","facebook leads","contactcenter_region3|limit|rangeof_action","+54 8 42 6494-4619","51261"
"Nancey F. Joyann","100","57714541718","google Forms","least_interested","7 75 8144-8059","90552"
"Sheena C. Shah","45","41634355971","Facebook Leads","contactcenter_region426|special|rangeof_action","+54 9 43 7458 8927","44065"
"Roberta Bremer","13","89558677442","google Forms","any_applicant","8 64-8197 5001","21850"
"Lanny Bernete","100","64583013926","Email RESPONSE","least_interested|remove_of_source","+54 4 30 4282 3895","50604"
"Valaree K. Kay","38","79352519628","Google forms","on_consideration","+54 5-18-9299 8754","84146"
"Odette Nesline","102","30219388272","facebok Leads","contactcenter_region2|remove_of_source|limit27","7 79 2690 99846","79441"
"Anett R. McArthur","36","90183691938","google Forms","treaty|on_consideration|remove_of_source","8 73 1542 6108","82683"
"Winona Ardene","74","45573231586","Google forms","actionpending13|call_again1|contactcenter_region4","5 28 3379 4843","93539"
"Barbey Gabriellia","33","67148846175","Email response","possible_buyer27|form_ui3443","+54 2 70 6017 7157","77483"
"Leshia Brigham","101","49813009188","Manual registration","on_consideration16","+54 1 73 1749 8245","93285"
"Brittaney Obe","30","31899045510","facebook leads","least_interested16","1 56 8091-6562","18208"
"Lucky Lenette","121","50834126130","Facebook Leads","contactcenter_region1","+54 5 44 9955 5262","38595"
"Lani Marte","12","75406164670","Email RESPONSE","actionpending|any_applicant","7-83 1385 4571","85123"
"Hedy Fronia","23","98732804233","Manual registration","client_only","7-57-2835 55881","36339"
"Cosette Oneal","98","76161938617","MANUAL REGistration","call_again|contactcenter_region314|contactondemand6","2 20-6323 3047","93285"
"Ernaline S. Ronny","59","40103298292","Email response","call_again|case1","4 64 2359 3600","99764"
"Margie R. Alene","93","8142840632","Facebook Leads","client_only","2 18 5899 7714","14882"
"Kendra Eulalie","55","94914518492","Google forms","special2","4 18 4493 5083","90508"
"Coraline C. Terrel","61","51948309844","Google forms","any_applicant|contactondemand","7 57 2381 3647","23173"
"Gretna B. Khalid","102","51607550180","google form","actionable","+54 3-12 5900 9975","21050"
"Belle L. Hamid","109","980385321716","facebook leads","never_call22|contactcenter_region39","+54 1-88 9963-6451","62382"
"Adrea Wilhelmine","82","46606190170","Google forms","treaty|rangeof_action|limit","7 14 9140 7670","24002"
"Elka T. Tarr","18","87352259021","google Forms","case18|contactcenter_region3|apply_0_cases","+54 5 76 8193 4127","19500"
"Arluene Korry","25","27871451077","manual-registration","contactcenter_region416","6 79 3358 8919","27627"
"Doreen Perkoff","30","62146897722","facebook leads","remove_of_source|special9","+54 9 27 9014 4498","48382"
"Sharline Margret","43","97501933289","Email response","source_dependant|treaty","+54 7 36-4481 6614","97732"
"Emilie W. Bashuk","13","77238858855","Facebook Leads","actionpending","8 76 9095 6694","67977"
"Brenda S. Shaver","49","27720835016","Manual registration","remove_of_source21|special19","9 51 2068 6324","31698"
"Kial Burgess","70","66206624581","Facebook Leads","limit|form_ui344","9 86 3507 9959","35817"
"Gayle Hoban","62","34399777198","google Forms","most_interested","7 85 7898 9797","26414"
"Lurline O. Aphra","5","45231560834","MANUAL REGistration","on_consideration|actionpending|contactcenter_region2","2 97 6801-4978","68228"
"Emelda Zirkle","104","4480020073084","google Forms","contactcenter_region4","+54 4 15 8193 4194","20313"
"Xena H. Nieberg","12","43862884280","google Forms","rangeof_action|actionpending|least_interested","7-62 7972 2790","76066"
"Blakelee Girard","93","9677632322","google form","never_call|call_again","+54 3 37 4714 4224","75023"
"Cherey J.","114","24779623721","google Forms","any_applicant18|call_again17","5-52 9956 9347","74785"
" Lilac","55","83230597751","MANUAL REGistration","contactcenter_region417|contactcenter_region4|apply_0_cases","8 33 1175 1588","67021"
"Serena Caylor","90","97023415725","Email RESPONSE","apply_0_cases11|source_dependant7|on_consideration30","5 55-3651 6559","60550"
"Ceil G. Brewster","102","61159461585","Email response","call_again|contactcenter_region3|never_call","7-26 4775 5567","83155"
"Hinda Perry","7","85134623589","facebook leads","actionable|techsource_29|any_applicant25","8 99-6968 4727","87894"
"Aggi Shaughnessy","78","63595804948","Manual registration","case1","3 88-2918 9302","78926"
"Koralle Jacquenette","61","80703521622","Email RESPONSE","client_only","9 52 7237 5372","64240"
"Steffi A. Moorefield","2","94426405098","Google forms","on_consideration6|contactcenter_region1","2 76 1740-3752","90641"
"Catherin Winifield","35","24504504038","Google forms","any_applicant","+54 7-21 6607 7870","59443"
"Catlin Tai","90","87487012187","Google forms","contactcenter_region1|contactcenter_region2","6 57 8491 5590","41650"
"Corene Foskett","59","53500690425","Manual registration","call_again2|least_interested|rangeof_action","1 45 4137 1152","89012"
"Merilee C. Lai","66","99891033790","Email RESPONSE","contactcenter_region3|call_again","+54 3 78 1515 2701","17504"
"Jacquie E. Eliathan","21","97185659632","Facebook Leads","least_interested24|rangeof_action25|any_applicant","1 45 7910 1460","69800"
"Elga H. Gassman","75","60930387484","MANUAL REGistration","limit|special15|on_consideration4","9 86 9247 4643","48376"
"Malinda X. Verity","45","35007966637","Google forms","contactcenter_region3","2-86 8150 6738","36227"
"Dione H. Mushro","33","86182823201","facebok Leads","treaty|case1","3 57 6030-6781","73101"
"Karil W. Hermine","40","397793382","Manual registration","apply_0_cases","5 87 7672 4314","64917"
"Clare M. Osei","29","18992427044","facebok Leads","rangeof_action|any_applicant|most_interested","+54 1 74-1168-5322","86772"
"Harli D. Gati","73","36831857440","Email RESPONSE","contactcenter_region1","8-91 4867 7952","15266"
"Brita Penn","42","83831948960","facebook leads","contactcenter_region1|actionpending2|any_applicant20","4 99-8165 7430","82091"
"Pearle Blinnie","119","46550236033","Manual registration","call_again","3 42-2409-8674","82656"
"Ida Egerton","15","48262245875","Google forms","techsource_29|never_call","+54 6-56 6743 7212","66684"
"Leora Vogel","32","45788940988","google Forms","limit11|most_interested7|remove_of_source","3 10 1954 9172","80263"
"Rosalynd Sonnie","124","40811510753","Email response","least_interested3|client_only","9 59 3398 1496","24851"
"Inga Geanine","82","49116834474","Facebook Leads","rangeof_action18|contactcenter_region4|case11","+54 2 99 2756 3085","90775"
"Kettie D. Dremann","13","58312522171","MANUAL REGistration","contactcenter_region1","+54 5 32-9192 1078","94890"
"Candy Holleran","24","92403011935","Email responce","form_ui34420|form_ui344|least_interested5","2-41 2189 8910","52442"
"Odelinda Millhon","94","49296465076","Email responce","any_applicant|form_ui344","+54 8 10 7569 2614","90992"
"Ailene Gustavus","116","46849191153","google form","call_again|client_only","1 96 9202 6397","40525"
"Raphaela Thirza","90","89595045144","Facebook Leads","client_only|most_interested","3-67 8851-1974","27613"
"Carry Merci","43","61301894669","Manual registration","any_applicant|least_interested","8 93 9067-8863","83051"
"Anne-Marie Drais","87","86568855369","Facebook Leads","techsource_2914|special4|contactondemand13","9 60 6767 7384","34303"
"Irena Killam","45","375456402","Manual registration","source_dependant27|contactcenter_region3","2 62-5761 8358","77605"
"Ashlee Lin","45","11566757325","Google forms","contactondemand|contactcenter_region429|never_call","2-84 9914 1332","71985"
"Tilly Wei","13","32731764013","Facebook Leads","form_ui344|client_only","9 70 1444-5974","98234"
"Mariel L. Trixi","107","73277353095","Email RESPONSE","actionpending|form_ui344|contactondemand","4 19 4416 7136","43087"
"Chantal Jacoba","87","56860641864","MANUAL REGistration","remove_of_source|form_ui344|limit","+54 5-13 6352-5690","68973"
"Bamby Kostival","12","37982173179","Email response","never_call","9 81 8658 6988","50409"
"Wendye B.","47","94348918544","Google forms","contactcenter_region3","6 38 8098-5777","62813"
"Bill C. Gratia","97","96140532762","Manual registration","contactcenter_region3|source_dependant","2 30 5280-8941","11531"
"Zorine K. Alexandro","24","66507518582","Facebook Leads","on_consideration|case1","+54 4-13 6044 5501","35664"
